id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
462,2.78,2.55,2.39,2.8,2.43,2.79,2.7,2.76,4.13,5.36
463,3.21,2.57,2.69,3.63,3.74,3.17,3.19,2.45,4.3,3.98
464,4.88,4.6,4.22,4.95,5.15,5.16,5.33,4.89,6.5,6.23
465,2.09,1.8,1.57,1.84,2,2.17,2.27,1.71,2.04,1.8
466,3.87,3.7,3.11,3.62,4.02,4.07,4.28,3.68,4.61,4.76
467,3.63,3.24,2.92,3.47,3.9,3.93,4.07,3.44,4.08,3.82
468,0.33,0.28,0.24,0.2,0.16,,0.13,0.12,0.14,0.15
469,2.87,2.49,2.2,2.32,2.32,2.5,2.28,1.79,2.19,2.13
470,1.91,1.6,1.56,1.93,2.04,2.21,2.24,1.73,2.22,2.11
471,3.53,2.74,2.34,3.22,3.15,3.2,3.05,2.77,3.73,3.84
472,1.02,0.81,0.88,1.1,1.18,1.14,1.11,1.15,1.52,1.46
473,2.3,1.88,1.79,2.3,2.13,1.77,1.76,1.7,2.21,1.96
474,1.94,1.69,1.41,1.82,1.8,2.53,2.66,1.78,2.51,2.36
475,2.17,1.85,1.82,2.14,2.23,2.33,2.47,2.54,3.32,3.58
476,3.54,3.25,3.29,4.18,4.22,4.65,4.77,3.71,5.69,4.87
