id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
401,0.17,0.22,0.21,0.21,0.19,0.25,0.29,0.27,0.3
402,0.11,0.13,0.12,0.16,0.16,0.2,0.16,0.18,0.11
403,0.12,0.13,0.14,0.16,0.25,0.15,0.34,0.23,0.21
404,0.18,0.12,0.11,0.2,0.11,0.2,0.17,0.17,0.31
405,0.3,0.4,0.32,0.44,0.48,0.39,0.6,0.6,0.51
406,0.08,0.1,0.1,0.13,0.12,,0.17,0.14,0.14
407,0.12,0.15,0.16,,0.12,,0.19,0.16,0.14
408,0.2,0.16,0.18,0.14,0.25,0.17,0.23,0.3,0.21
409,0.11,0.13,0.21,0.17,0.21,0.14,0.21,0.15,0.21
410,,0.05,0.05,,,,0.06,0.05,
411,0.08,0.2,0.14,0.19,0.2,0.23,0.25,0.23,0.29
412,,,0.05,,,,,0.1,0.15
413,0.31,0.4,0.3,0.44,0.47,0.47,0.53,0.52,0.4
416,0.08,,0.05,,,,0.13,0.11,0.12
417,0.15,0.16,0.09,0.1,0.15,,0.18,0.17,0.17
418,0.2,0.21,0.25,0.22,0.21,0.12,0.22,0.1,0.22
419,0.26,0.19,0.17,0.26,0.27,0.12,0.26,0.14,0.16
420,0.14,0.13,0.17,0.14,0.19,0.13,0.1,0.05,0.09
421,0.11,,0.08,,,,0.1,0.17,0.12
422,0.15,0.08,0.21,0.21,0.3,0.34,0.23,0.32,0.38
423,0.11,0.21,0.16,0.18,0.23,0.11,0.22,0.3,0.32
424,0.07,,,,,,0.09,0.08,0.07
425,0.05,0.12,0.1,,0.11,,0.12,0.08,0.14
426,0.2,0.23,0.25,0.19,0.19,0.16,0.19,0.28,0.27
428,0.15,0.13,0.2,0.13,0.14,0.11,0.2,0.14,0.19
