id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
279,8,8,,11,10,,,8,9,7,12
280,17,20,19,20,25,15,14,29,28,21,29
281,16,10,11,13,23,,,13,12,15,23
282,22,25,27,20,31,30,25,27,27,20,26
283,26,24,31,39,44,28,21,37,29,42,30
284,10,21,16,21,21,32,28,21,18,34,21
285,,,,,,,,,,,
286,,5,5,4,,,9,,6,,7
287,20,21,14,17,26,16,25,10,20,25,12
288,20,20,13,11,13,12,22,17,15,15,22
289,36,27,35,45,40,37,32,54,53,50,50
290,,6,7,3,,10,10,8,7,8,5
291,21,21,18,20,20,22,16,19,15,14,17
292,8,10,11,11,12,,,6,6,8,8
293,6,6,15,6,,10,,8,5,12,7
294,7,12,9,8,15,14,,9,4,8,7
295,13,19,8,14,11,,10,13,9,8,11
296,9,9,10,19,18,17,9,26,18,19,37
297,,,,,,,,7,,,
298,4,10,12,8,13,14,15,9,10,13,11
299,21,24,31,25,36,27,19,20,36,24,31
300,,5,5,12,,,,,9,,
301,26,23,26,17,23,14,25,29,24,21,24
302,19,29,32,35,24,23,14,33,16,28,33
303,10,9,17,10,20,19,14,12,12,12,12
304,8,,10,7,7,,,5,5,10,10
305,,6,7,5,12,,,17,12,12,7
306,,1,7,4,,,,4,5,6,12
307,40,33,38,32,52,31,35,29,39,37,38
308,6,19,16,21,16,13,16,19,15,24,26
309,16,19,25,29,18,25,21,23,30,23,30
310,42,44,47,42,40,41,41,35,32,49,40
311,9,6,6,5,11,,,8,14,3,9
312,18,10,13,14,19,11,,15,21,10,15
313,12,33,20,27,24,23,23,14,25,24,17
314,18,14,16,10,16,,9,15,16,20,15
315,,,,,,,,,,,
316,28,31,24,45,32,28,25,29,40,26,46
317,4,7,8,,,,,10,8,8,8
318,11,6,6,6,,,,5,6,5,7
319,31,35,35,38,34,28,36,33,35,32,29
320,9,10,6,,,19,22,9,7,11,14
321,11,11,21,7,14,,,19,3,8,9
322,11,8,14,6,15,,,6,5,14,13
323,32,29,39,35,41,18,24,25,20,27,40
324,11,14,9,9,12,,,9,9,6,13
325,23,28,24,31,27,12,19,31,24,26,26
326,5,12,7,,,,,4,5,6,2
327,20,9,12,11,14,15,15,18,19,24,21
328,11,14,8,10,,10,,8,16,9,10
329,23,21,16,31,27,24,21,22,22,13,24
330,21,16,22,29,27,26,15,23,23,24,16
331,9,7,,,10,,,8,11,11,10
332,15,15,21,19,16,20,17,20,12,18,19
333,34,37,37,31,37,19,21,30,31,27,25
334,,,,,,,,,,,
335,36,43,36,36,46,32,39,45,42,37,36
336,44,52,51,48,52,30,43,54,32,31,42
337,17,14,17,8,13,12,,9,9,10,7
338,5,4,10,9,,,,,,,
339,,,,,,,,,,,
343,,,,3,,,,6,,,
344,4,3,5,3,,,,8,,,9
345,6,5,7,6,,9,16,,4,,13
