id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
277,8.0,10.0,4.0,4.0,7.0,8.0,10.0,13.0,18.0
278,3.0,2.0,5.0,8.0,,,7.0,10.0,7.0
279,3.0,4.0,,,,,5.0,0.0,2.0
280,2.0,7.0,2.0,6.0,5.0,12.0,11.0,9.0,10.0
281,4.0,6.0,1.0,,8.0,5.0,6.0,8.0,7.0
282,6.0,10.0,13.0,11.0,15.0,6.0,9.0,7.0,6.0
283,15.0,16.0,11.0,11.0,11.0,13.0,7.0,17.0,11.0
284,21.0,19.0,17.0,18.0,30.0,19.0,22.0,35.0,23.0
285,,,,,,,,,
286,,4.0,,6.0,,,3.0,4.0,0.0
287,13.0,9.0,5.0,7.0,9.0,13.0,6.0,9.0,11.0
288,5.0,12.0,10.0,14.0,12.0,13.0,9.0,12.0,7.0
289,28.0,19.0,19.0,13.0,28.0,30.0,19.0,46.0,39.0
290,2.0,1.0,4.0,1.0,5.0,4.0,1.0,3.0,6.0
291,7.0,7.0,6.0,2.0,1.0,5.0,4.0,6.0,5.0
292,4.0,2.0,2.0,8.0,,,5.0,6.0,3.0
293,4.0,,,,7.0,,1.0,2.0,1.0
294,3.0,2.0,1.0,,1.0,,2.0,0.0,0.0
295,4.0,4.0,3.0,,4.0,,1.0,3.0,4.0
296,4.0,6.0,9.0,6.0,13.0,12.0,13.0,16.0,23.0
297,,,,,,,,,
298,4.0,5.0,8.0,,6.0,,5.0,2.0,2.0
299,12.0,16.0,9.0,8.0,15.0,8.0,22.0,8.0,16.0
300,1.0,,,,,,,,
301,8.0,9.0,8.0,6.0,6.0,10.0,14.0,11.0,9.0
302,15.0,11.0,8.0,6.0,20.0,3.0,24.0,14.0,20.0
303,8.0,5.0,3.0,6.0,,6.0,8.0,3.0,4.0
304,1.0,,3.0,,6.0,,3.0,3.0,3.0
305,4.0,1.0,3.0,,5.0,,2.0,9.0,5.0
306,,1.0,,,,,2.0,4.0,2.0
307,15.0,19.0,14.0,13.0,10.0,19.0,10.0,12.0,14.0
308,12.0,11.0,11.0,14.0,15.0,11.0,27.0,14.0,23.0
309,20.0,15.0,17.0,22.0,23.0,19.0,23.0,26.0,12.0
310,35.0,26.0,36.0,42.0,32.0,24.0,34.0,33.0,36.0
311,,5.0,5.0,,,,4.0,5.0,3.0
312,5.0,8.0,6.0,4.0,6.0,5.0,7.0,5.0,3.0
313,15.0,7.0,12.0,7.0,16.0,8.0,9.0,5.0,10.0
314,2.0,6.0,1.0,6.0,10.0,4.0,8.0,9.0,4.0
315,,,,,,,,,
316,16.0,9.0,14.0,22.0,13.0,8.0,9.0,23.0,13.0
317,3.0,,,,,,1.0,0.0,1.0
318,5.0,,,,,,5.0,3.0,4.0
319,23.0,16.0,16.0,17.0,17.0,16.0,13.0,9.0,24.0
320,,,5.0,,13.0,12.0,10.0,17.0,15.0
321,3.0,2.0,,,,,1.0,2.0,2.0
322,,3.0,2.0,3.0,,,7.0,4.0,7.0
323,19.0,11.0,9.0,9.0,5.0,7.0,12.0,5.0,8.0
324,7.0,,4.0,,,,4.0,3.0,5.0
325,6.0,10.0,8.0,9.0,17.0,5.0,9.0,10.0,10.0
326,,1.0,1.0,,,,,,0.0
327,6.0,9.0,4.0,7.0,7.0,4.0,8.0,5.0,3.0
328,4.0,,3.0,4.0,,,5.0,2.0,4.0
329,6.0,17.0,9.0,6.0,12.0,7.0,8.0,13.0,11.0
330,12.0,9.0,5.0,5.0,7.0,8.0,4.0,12.0,9.0
331,2.0,5.0,4.0,5.0,10.0,,4.0,3.0,5.0
332,4.0,1.0,4.0,9.0,10.0,7.0,5.0,5.0,9.0
333,9.0,6.0,5.0,15.0,9.0,7.0,10.0,13.0,13.0
334,,,,,,,,,
335,23.0,30.0,23.0,20.0,33.0,20.0,27.0,38.0,42.0
336,13.0,14.0,8.0,10.0,19.0,9.0,16.0,20.0,27.0
337,2.0,5.0,4.0,,,6.0,6.0,5.0,10.0
338,4.0,4.0,1.0,,,,,,
339,,,,,,,,,
343,,,4.0,,,,6.0,1.0,4.0
344,,2.0,,,7.0,,4.0,2.0,4.0
345,,4.0,,2.0,5.0,5.0,3.0,0.0,4.0
346,4.0,9.0,11.0,6.0,8.0,12.0,11.0,6.0,13.0
347,1.0,,4.0,,,,,0.0,
348,4.0,3.0,12.0,6.0,9.0,14.0,6.0,6.0,10.0
349,6.0,11.0,10.0,,,,10.0,14.0,6.0
350,,,9.0,,15.0,10.0,14.0,8.0,18.0
351,6.0,6.0,9.0,,,,4.0,10.0,15.0
352,17.0,23.0,21.0,30.0,34.0,29.0,15.0,28.0,28.0
353,14.0,18.0,23.0,8.0,28.0,,28.0,31.0,24.0
354,4.0,2.0,,,,,6.0,2.0,
355,5.0,,5.0,,12.0,7.0,12.0,20.0,23.0
356,22.0,26.0,31.0,36.0,55.0,30.0,57.0,62.0,61.0
357,2.0,7.0,5.0,7.0,10.0,,12.0,11.0,15.0
358,18.0,13.0,12.0,17.0,44.0,16.0,38.0,37.0,29.0
359,7.0,5.0,5.0,,9.0,6.0,12.0,12.0,8.0
360,21.0,15.0,22.0,11.0,17.0,18.0,23.0,23.0,20.0
361,,3.0,2.0,4.0,,,5.0,5.0,3.0
362,10.0,10.0,12.0,6.0,5.0,3.0,6.0,6.0,6.0
363,1.0,1.0,3.0,6.0,6.0,8.0,4.0,5.0,5.0
364,3.0,7.0,7.0,,,,14.0,17.0,19.0
365,,1.0,2.0,,,,4.0,2.0,8.0
366,,,3.0,,,,,3.0,
367,11.0,6.0,12.0,7.0,13.0,10.0,15.0,13.0,17.0
368,16.0,14.0,8.0,10.0,23.0,11.0,22.0,18.0,10.0
369,3.0,4.0,6.0,5.0,3.0,6.0,1.0,1.0,2.0
370,6.0,9.0,9.0,16.0,3.0,4.0,8.0,5.0,18.0
371,22.0,24.0,14.0,19.0,20.0,21.0,16.0,23.0,26.0
372,28.0,41.0,41.0,25.0,80.0,40.0,57.0,64.0,52.0
